,identifier.Id,identifier.fips,identifier.apn,identifier.attomId,address.country,address.countrySubd,address.line1,address.line2,address.locality,address.matchCode,address.oneLine,address.postal1,address.postal2,address.postal3,location.accuracy,location.latitude,location.longitude,location.distance,location.geoid,location.geoIdV4.CO,location.geoIdV4.CS,location.geoIdV4.DB,location.geoIdV4.SB,location.geoIdV4.ZI,vintage.lastModified,vintage.pubDate,location.geoIdV4.N4,identifier.apnOrig,location.geoIdV4.PL
0,24441,34029,07  01261-0000-00015,24441,US,NJ,868 STENGEL AVE,"BRICK, NJ 08724",BRICK,ExaStr,"868 STENGEL AVE, BRICK, NJ 08724",08724,2139,C085,Rooftop,40.093564,-74.115347,0.0,"CO34029, CS3407420, DB3402220, SB0000147989, SB0000147990, SB0000149789, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,"475ef681997e7335410adec0f217cb1f,77f11cd01f2162689f97758fc8213ad1",bbf1588b6024916eaa79f0b79f8d4121,2022-12-14,2022-12-14,,,
1,24443,34029,07  00831-0000-00033,24443,US,NJ,1621 EDGE ST,"BRICK, NJ 08724",BRICK,ExaStr,"1621 EDGE ST, BRICK, NJ 08724",08724,2938,C075,Rooftop,40.074841,-74.136789,0.0,"CO34029, CS3407420, DB3402220, SB0000144451, SB0000144452, SB0000153443, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,"bb58d056aee886031f512c14238dc9c7,f146504ac194611bf59e014407076e23,681c3bc82fe62433d1700c700297f7f5",bbf1588b6024916eaa79f0b79f8d4121,2023-05-16,2023-05-16,,,
2,24446,34029,07  01407-  06-00027,24446,US,NJ,565 RHODE ISLAND AVE,"BRICK, NJ 08724",BRICK,ExaStr,"565 RHODE ISLAND AVE, BRICK, NJ 08724",08724,1250,R001,Rooftop,40.108677,-74.123988,0.0,"CO34029, CS3407420, DB3402220, RS0000288166, SB0000142672, SB0000147989, SB0000147990, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,"aa39c0905ea65584fc4c1d0bfa43c9c3,77f11cd01f2162689f97758fc8213ad1",bbf1588b6024916eaa79f0b79f8d4121,2023-05-16,2023-05-16,9efd052de2574adee8539ca648939692,,
3,24563,34029,07  01099-  12-00005,24563,US,NJ,75 HARRISON AVE,"BRICK, NJ 08724",BRICK,ExaStr,"75 HARRISON AVE, BRICK, NJ 08724",08724,2558,C085,Rooftop,40.081301,-74.118271,0.0,"CO34029, CS3407420, DB3402220, SB0000147989, SB0000147990, SB0000149789, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,"475ef681997e7335410adec0f217cb1f,77f11cd01f2162689f97758fc8213ad1",bbf1588b6024916eaa79f0b79f8d4121,2023-05-16,2023-05-16,,,
4,25956,34029,07  01286-  61-00028,25956,US,NJ,360 KELLY AVE,"BRICK, NJ 08724",BRICK,ExaStr,"360 KELLY AVE, BRICK, NJ 08724",08724,2233,C081,Rooftop,40.094388,-74.103785,0.0,"CO34029, CS3407420, DB3402220, SB0000147989, SB0000147990, SB0000149789, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,"475ef681997e7335410adec0f217cb1f,77f11cd01f2162689f97758fc8213ad1",bbf1588b6024916eaa79f0b79f8d4121,2023-05-16,2023-05-16,,,
5,26015,34029,07  01108-  03-00008,26015,US,NJ,15 RED MAPLE DR,"BRICK, NJ 08724",BRICK,ExaStr,"15 RED MAPLE DR, BRICK, NJ 08724",08724,2094,C085,Rooftop,40.092877,-74.127336,0.0,"CO34029, CS3407420, DB3402220, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,"475ef681997e7335410adec0f217cb1f,77f11cd01f2162689f97758fc8213ad1",bbf1588b6024916eaa79f0b79f8d4121,2022-12-14,2022-12-14,,,
6,26081,34029,07  00902-  40-00049,26081,US,NJ,123 MERIDIAN DR,"BRICK, NJ 08724",BRICK,ExaStr,"123 MERIDIAN DR, BRICK, NJ 08724",08724,4458,C022,Rooftop,40.065501,-74.101508,0.0,"CO34029, CS3407420, DB3402220, SB0000140917, SB0000147989, SB0000147990, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,"53bd123c0708f40f4ccacec2a40fc6a4,77f11cd01f2162689f97758fc8213ad1",bbf1588b6024916eaa79f0b79f8d4121,2022-12-14,2022-12-14,,,
7,26147,34029,07  01429-0000-00001-0000-C0157,26147,US,NJ,157 PRIMROSE LN,"BRICK, NJ 08724",BRICK,ExaStr,"157 PRIMROSE LN, BRICK, NJ 08724",08724,1431,C034,Rooftop,40.100204,-74.137357,0.0,"CO34029, CS3407420, DB3402220, RS0000443753, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,"aa39c0905ea65584fc4c1d0bfa43c9c3,77f11cd01f2162689f97758fc8213ad1",bbf1588b6024916eaa79f0b79f8d4121,2022-12-14,2022-12-14,7b9890797e97af678002383619f8b8bc,,
8,28116,34029,07  01429-  02-00002-0000-C1324,28116,US,NJ,1324 SABRINA CT,"BRICK, NJ 08724",BRICK,ExaStr,"1324 SABRINA CT, BRICK, NJ 08724",08724,7132,C073,Rooftop,40.102624,-74.143550,0.0,"CO34029, CS3407420, DB3402220, SB0000142672, SB0000147989, SB0000147990, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,"aa39c0905ea65584fc4c1d0bfa43c9c3,77f11cd01f2162689f97758fc8213ad1",bbf1588b6024916eaa79f0b79f8d4121,2022-12-14,2022-12-14,,,
9,31233,34029,07  01386-  01-00012,31233,US,NJ,2285 LANES MILL RD,"BRICK, NJ 08724",BRICK,ExaStr,"2285 LANES MILL RD, BRICK, NJ 08724",08724,1002,R002,Rooftop,40.111402,-74.111228,0.0,"CO34029, CS3407420, DB3402220, RS0000270728, SB0000147987, SB0000147989, SB0000147990, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,"92b7e3a00ec3da5d1339fc2f573358a5,77f11cd01f2162689f97758fc8213ad1",bbf1588b6024916eaa79f0b79f8d4121,2022-12-14,2022-12-14,42c5afc7c04786f9a078b044d933faf5,,
