,saleamt,saleTransDate,identifier.Id,identifier.fips,identifier.apn,identifier.attomId,lot.lotSize1,address.country,address.countrySubd,address.line1,address.line2,address.locality,address.matchCode,address.oneLine,address.postal1,address.postal2,address.postal3,location.accuracy,location.latitude,location.longitude,location.distance,location.geoid,location.geoIdV4.CO,location.geoIdV4.CS,location.geoIdV4.DB,location.geoIdV4.N4,location.geoIdV4.SB,location.geoIdV4.ZI,summary.propclass,summary.propsubtype,summary.proptype,summary.yearbuilt,summary.propLandUse,summary.propIndicator,building.size.universalsize,building.rooms.bathstotal,building.rooms.beds,vintage.lastModified,vintage.pubDate,identifier.apnOrig,location.geoIdV4.PL
0,285000.0,2019-03-01,24446,34029,07  01407-  06-00027,24446,0.1836547,US,NJ,565 RHODE ISLAND AVE,"BRICK, NJ 08724",BRICK,ExaStr,"565 RHODE ISLAND AVE, BRICK, NJ 08724",08724,1250,R001,Rooftop,40.108677,-74.123988,0.0,"CO34029, CS3407420, DB3402220, RS0000288166, SB0000142672, SB0000147989, SB0000147990, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,9efd052de2574adee8539ca648939692,"77f11cd01f2162689f97758fc8213ad1,aa39c0905ea65584fc4c1d0bfa43c9c3",bbf1588b6024916eaa79f0b79f8d4121,Single Family Residence / Townhouse,Residential,SFR,1968.0,SFR,10,1222,2.0,3.0,2019-05-09,2019-05-09,,
1,272500.0,2004-10-04,24563,34029,07  01099-  12-00005,24563,0.21809,US,NJ,75 HARRISON AVE,"BRICK, NJ 08724",BRICK,ExaStr,"75 HARRISON AVE, BRICK, NJ 08724",08724,2558,C085,Rooftop,40.081301,-74.118271,0.0,"CO34029, CS3407420, DB3402220, SB0000147989, SB0000147990, SB0000149789, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,,"77f11cd01f2162689f97758fc8213ad1,475ef681997e7335410adec0f217cb1f",bbf1588b6024916eaa79f0b79f8d4121,Single Family Residence / Townhouse,Residential,SFR,1983.0,SFR,10,1713,3.0,3.0,2022-11-03,2022-11-03,,
2,259900.0,2008-08-27,25956,34029,07  01286-  61-00028,25956,0.1147842,US,NJ,360 KELLY AVE,"BRICK, NJ 08724",BRICK,ExaStr,"360 KELLY AVE, BRICK, NJ 08724",08724,2233,C081,Rooftop,40.094388,-74.103785,0.0,"CO34029, CS3407420, DB3402220, SB0000147989, SB0000147990, SB0000149789, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,,"77f11cd01f2162689f97758fc8213ad1,475ef681997e7335410adec0f217cb1f",bbf1588b6024916eaa79f0b79f8d4121,Single Family Residence / Townhouse,Residential,SFR,1946.0,SFR,10,1488,1.0,3.0,2022-10-31,2022-10-31,,
3,,,26015,34029,07  01108-  03-00008,26015,0.1388889,US,NJ,15 RED MAPLE DR,"BRICK, NJ 08724",BRICK,ExaStr,"15 RED MAPLE DR, BRICK, NJ 08724",08724,2094,C085,Rooftop,40.092877,-74.127336,0.0,"CO34029, CS3407420, DB3402220, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,,"77f11cd01f2162689f97758fc8213ad1,475ef681997e7335410adec0f217cb1f",bbf1588b6024916eaa79f0b79f8d4121,Single Family Residence / Townhouse,Residential,SFR,1994.0,SFR,10,1576,2.0,3.0,,,,
4,244900.0,2006-06-19,31233,34029,07  01386-  01-00012,31233,0.5068871,US,NJ,2285 LANES MILL RD,"BRICK, NJ 08724",BRICK,ExaStr,"2285 LANES MILL RD, BRICK, NJ 08724",08724,1002,R002,Rooftop,40.111402,-74.111228,0.0,"CO34029, CS3407420, DB3402220, RS0000270728, SB0000147987, SB0000147989, SB0000147990, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,42c5afc7c04786f9a078b044d933faf5,"77f11cd01f2162689f97758fc8213ad1,92b7e3a00ec3da5d1339fc2f573358a5",bbf1588b6024916eaa79f0b79f8d4121,Single Family Residence / Townhouse,Residential,SFR,1973.0,SFR,10,1916,3.0,4.0,2022-10-26,2022-10-26,,
5,366015.0,2020-02-27,32446,34029,07  01413-  11-00027,32446,0.1836547,US,NJ,571 CAROLINA AVE,"BRICK, NJ 08724",BRICK,ExaStr,"571 CAROLINA AVE, BRICK, NJ 08724",08724,1281,R001,Rooftop,40.108941,-74.126341,0.0,"CO34029, CS3407420, DB3402220, RS0000288166, SB0000142672, SB0000147989, SB0000147990, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,9efd052de2574adee8539ca648939692,"77f11cd01f2162689f97758fc8213ad1,aa39c0905ea65584fc4c1d0bfa43c9c3",bbf1588b6024916eaa79f0b79f8d4121,Single Family Residence / Townhouse,Residential,SFR,1987.0,SFR,10,1655,3.0,4.0,2022-10-05,2022-10-05,,
6,326500.0,2021-04-05,34203,34029,07  01243-0000-00112,34203,0.0918274,US,NJ,392 5TH AVE,"BRICK, NJ 08724",BRICK,ExaStr,"392 5TH AVE, BRICK, NJ 08724",08724,1576,C025,Rooftop,40.097725,-74.104532,0.0,"CO34029, CS3407420, DB3402220, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,,"77f11cd01f2162689f97758fc8213ad1,475ef681997e7335410adec0f217cb1f",bbf1588b6024916eaa79f0b79f8d4121,Single Family Residence / Townhouse,Residential,SFR,1945.0,SFR,10,1125,1.0,2.0,2022-10-05,2022-10-05,,
7,195000.0,2005-03-16,34205,34029,07  01429-  02-00002-0000-C1382,34205,0.1125115,US,NJ,1382 OLIVIA CT,"BRICK, NJ 08724",BRICK,ExaStr,"1382 OLIVIA CT, BRICK, NJ 08724",08724,7127,C031,Rooftop,40.101813,-74.142956,0.0,"CO34029, CS3407420, DB3402220, SB0000142672, SB0000147989, SB0000147990, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,,"77f11cd01f2162689f97758fc8213ad1,aa39c0905ea65584fc4c1d0bfa43c9c3",bbf1588b6024916eaa79f0b79f8d4121,Condominium (residential),Residential,CONDOMINIUM,1974.0,CONDOMINIUM,11,1144,1.0,2.0,2022-10-03,2022-10-03,,
8,315000.0,2020-08-21,43010,34029,07  01070-  90-00008,43010,0.1205005,US,NJ,295 PROSPECT DR,"BRICK, NJ 08724",BRICK,ExaStr,"295 PROSPECT DR, BRICK, NJ 08724",08724,2629,C046,Rooftop,40.089261,-74.108411,0.0,"CO34029, CS3407420, DB3402220, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,,"77f11cd01f2162689f97758fc8213ad1,475ef681997e7335410adec0f217cb1f",bbf1588b6024916eaa79f0b79f8d4121,Single Family Residence / Townhouse,Residential,SFR,1954.0,SFR,10,1590,1.0,2.0,2022-10-05,2022-10-05,,
9,125000.0,2018-04-27,44857,34029,0701386000000010        C158,44857,0.1121901,US,NJ,288 SAWMILL RD # 158,"BRICK, NJ 08724",BRICK,ExaStr,"288 SAWMILL RD # 158, BRICK, NJ 08724",08724,1368,C025,Rooftop,40.107372,-74.108138,0.0,"CO34029, CS3407420, DB3402220, RS0000416311, ZI08724",b3490602dba74b013418ee57d5a39808,3108bc332e018a9c86c5a13906a49255,35f6b790c4ff5e14bd7e24453b95b8b7,13a27d1e870d4b35ac76fd6f8b54a80c,"77f11cd01f2162689f97758fc8213ad1,475ef681997e7335410adec0f217cb1f",bbf1588b6024916eaa79f0b79f8d4121,Condominium (residential),Residential,CONDOMINIUM,1974.0,CONDOMINIUM,11,1280,2.0,3.0,2019-09-07,2019-09-07,0701386000000010C158,
