,Board Number,Board Name,Board Type,School Number,School Name,School Type,School Special Condition Code,School Level,School Language,Grade Range,Building Suite,P.O. Box,Street,Municipality,City,Province,Postal Code,Phone Number,Fax Number,School Website,Board Website,Enrolment,Latitude,Longitude,Percentage of Students Whose First Language Is Not English,Percentage of Students Whose First Language Is Not French,Percentage of Students Who Are New to Canada from a Non-English Speaking Country,Percentage of Students Who Are New to Canada from a Non-French Speaking Country,Percentage of Students Receiving Special Education Services,Percentage of Students Identified as Gifted,Change in Grade 6 Reading Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Writing,Change in Grade 6 Writing Achievement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Academic Mathematics,Change in Grade 9 Academic Mathematics Achievement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Applied Mathematics,Change in Grade 9 Applied Mathematics Achievement Over Three Years,Percentage of Students That Passed the Grade 10 OSSLT on Their First Attempt,Change in Grade 10 OSSLT Literacy Achievement Over Three Years,Percentage of School-Aged Children Who Live in Low-Income Households,"Percentage of Students Whose Parents Have No Degree, Diploma or Certificate",Extract Date,Year
0,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),902344,Algoma Education Connection Secondary School,Public,Alternative,Secondary,English,9-12,,,550 Northern Ave,Sault Ste. Marie,Sault Ste Marie,Ontario,P6B4J4,705-945-7194,705-945-7173,http://www.adsb.on.ca,www.adsb.on.ca,200,46.53477,-84.3077,0,100,0,0,20,0,,,,N/D,,N/R,,N/R,,20,10,2021-10-07 00:00:00,2017
8,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),891347,Central Algoma Secondary School,Public,Not applicable,Secondary,English,9-12,,,32 Kensington Rd,Johnson,Desbarats,Ontario,P0R1E0,705-782-6263,705-782-4288,http://www.adsb.on.ca/sites/schools/cas/default.aspx,www.adsb.on.ca,330,46.33811,-83.9355,5,100,0,0,30,0,,,,70%,-3.0,51%,21.0,64%,-3.0,20,5,2021-10-07 00:00:00,2017
10,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),900869,Chapleau High School,Public,Not applicable,Secondary,English,9-12,,,20 Teak St,Chapleau,Chapleau,Ontario,P0M1K0,705-864-1452,705-864-2367,http://www.adsb.on.ca/sites/schools/css/default.aspx,www.adsb.on.ca,70,47.84273,-83.4083,0,100,0,0,30,0,,,,N/R,,N/R,,46%,-27.0,0,10,2021-10-07 00:00:00,2017
14,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),908010,Elliot Lake Secondary School,Public,Not applicable,Secondary,English,9-12,,,303 Mississauga Ave,Elliot Lake,Elliot Lake,Ontario,P5A1E8,705-848-7162,705-848-0103,http://www.adsb.on.ca/sites/schools/els/default.aspx,www.adsb.on.ca,290,46.37627,-82.6611,5,100,0,0,20,0,,,,86%,1.0,52%,-8.0,82%,-4.0,15,5,2021-10-07 00:00:00,2017
20,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),917370,Hornepayne High School,Public,Not applicable,Secondary,English,9-12,,,162 Fourth Avenue,Hornepayne,Hornepayne,Ontario,P0M1Z0,807-868-2475,807-868-2126,http://www.adsb.on.ca/sites/schools/hhs/default.aspx,www.adsb.on.ca,50,49.21525,-84.7789,10,100,0,0,20,0,,,,N/R,,N/R,,45%,1.0,10,0,2021-10-07 00:00:00,2017
24,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),920533,Korah Collegiate and Vocational School,Public,Not applicable,Secondary,English,9-12,,,636 Goulais Ave,Sault Ste. Marie,Sault Ste Marie,Ontario,P6C5A7,705-945-7180,705-945-0750,http://www.adsb.on.ca/sites/schools/kor/default.aspx,www.adsb.on.ca,755,46.54269,-84.3816,2,100,1,1,20,0,,,,70%,-15.0,33%,0.0,73%,0.0,13,6,2021-10-07 00:00:00,2017
26,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),926086,Michipicoten High School,Public,Not applicable,Secondary,English,9-12,,,86 Magpie Rd,Michipicoten,Wawa,Ontario,P0S1K0,705-856-4464,705-856-1948,http://www.adsb.on.ca/sites/schools/mic/default.aspx,www.adsb.on.ca,100,47.99317,-84.7758,0,100,0,0,30,0,,,,67%,27.0,50%,,65%,4.0,10,0,2021-10-07 00:00:00,2017
29,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),891150,North Shore Adolescent Education School,Public,Not applicable,Secondary,English,9-12,,,303 Mississauga Ave,Elliot Lake,Elliot Lake,Ontario,P5A1E8,705-848-1088,705-848-5634,,www.adsb.on.ca,SP,46.37987,-82.6565,SP,SP,SP,SP,SP,SP,,,,,,,,N/D,,SP,SP,2021-10-07 00:00:00,2017
39,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),958050,Superior Heights Collegiate and Vocational School,Public,Not applicable,Secondary,English,9-12,,,750 north street,Sault Ste. Marie,Sault Ste. Marie,Ontario,P6B2C5,,,http://www.adsb.on.ca/sites/schools/shs/default.aspx,www.adsb.on.ca,800,46.50845,-84.2882,3,100,2,2,19,0,,,,73%,0.0,33%,1.0,69%,1.0,15,5,2021-10-07 00:00:00,2017
44,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),895270,W C Eaket Secondary School,Public,Not applicable,Secondary,English,9-12,,,147 Woodward Ave,Blind River,Blind River,Ontario,P0R1B0,705-356-2221,705-356-2596,http://www.adsb.on.ca/sites/schools/wce/default.aspx,www.adsb.on.ca,135,46.18877,-82.9467,0,100,0,0,35,0,,,,N/R,,25%,14.0,68%,-2.0,20,10,2021-10-07 00:00:00,2017
